config_id,components,lr,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
2,5,0.01,1,3,1.5438454336108582,0.48553030303030303,1.4068703558950713,0.5318181818181819,5.901750326156616,117275
2,5,0.01,1,4,1.305117264949914,0.5813636363636364,1.218125485795917,0.6122727272727273,6.5035481452941895,117275
2,5,0.01,1,5,1.1434970166466454,0.6453787878787879,1.089239987676794,0.6628787878787878,5.919828653335571,117275
2,5,0.01,2,1,2.5695593481352836,0.19393939393939394,2.0655010304306494,0.2962121212121212,6.1855878829956055,117275
2,5,0.01,2,2,1.815798825928659,0.39651515151515154,1.6237253758401582,0.4593939393939394,6.1500163078308105,117275
2,5,0.01,2,3,1.4701048221010151,0.5239393939393939,1.3583377183567393,0.5681818181818182,5.998002290725708,117275
2,5,0.01,2,4,1.2561818208116473,0.6031818181818182,1.185918872428663,0.6289393939393939,6.3332200050354,117275
2,5,0.01,2,5,1.1115546384002224,0.6536363636363637,1.0666650436141274,0.6712121212121213,5.896993637084961,117275
2,5,0.01,3,1,2.8080217335440896,0.15333333333333332,2.267469345150572,0.24515151515151515,6.3758533000946045,117275
2,5,0.01,3,2,2.0154015906651814,0.32196969696969696,1.7726844118580674,0.4056060606060606,5.89111590385437,117275
2,5,0.01,3,3,1.621926694060817,0.4515909090909091,1.4614784613522616,0.5115151515151515,6.455659627914429,117275
2,5,0.01,3,4,1.3693182455409656,0.5414393939393939,1.2578732766527119,0.588030303030303,5.9256675243377686,117275
2,5,0.01,3,5,1.198780315283573,0.6058333333333333,1.116881494811087,0.6430303030303031,6.16288948059082,117275
3,5,0.005,1,1,2.2599456972064393,0.2868181818181818,1.5172365718899352,0.5056060606060606,6.208186864852905,117275
3,5,0.005,1,2,1.249084315444484,0.6032575757575758,1.053965454968539,0.6701515151515152,5.969557285308838,117275
3,5,0.005,1,3,0.9452316503091291,0.7095454545454546,0.8622431203813263,0.733030303030303,6.376477956771851,117275
3,5,0.005,1,4,0.8016427008310953,0.7586363636363637,0.7589166816075643,0.7672727272727272,5.894011735916138,117275
3,5,0.005,1,5,0.7157987879984307,0.7847727272727273,0.6924807263143135,0.7893939393939394,6.419060945510864,117275
3,5,0.005,2,1,2.5664424373164323,0.23787878787878788,1.6658271926822084,0.4306060606060606,5.9218339920043945,117275
3,5,0.005,2,2,1.3463496562206383,0.5557575757575758,1.1246188445524736,0.6384848484848484,6.488195180892944,117275
3,5,0.005,2,3,0.9966471178603895,0.6862878787878788,0.8955185467546637,0.7207575757575757,5.937078952789307,117275
3,5,0.005,2,4,0.8335676410342707,0.7448484848484849,0.778805613301017,0.7603030303030303,6.192992448806763,117275
3,5,0.005,2,5,0.7405305819077925,0.7788636363636363,0.7029339182015621,0.7877272727272727,6.186872482299805,117275
3,5,0.005,3,1,2.36376965898456,0.26901515151515154,1.6617117072596694,0.4381818181818182,5.988178968429565,117275
3,5,0.005,3,2,1.3250627358031994,0.571060606060606,1.124299761165272,0.6492424242424243,6.289563417434692,117275
3,5,0.005,3,3,0.9770185039982652,0.7040151515151515,0.9065984928246701,0.7274242424242424,5.928215742111206,117275
3,5,0.005,3,4,0.8141075596664891,0.756439393939394,0.7877855105111093,0.7653030303030303,6.372847318649292,117275
3,5,0.005,3,5,0.7199842139446374,0.7890151515151516,0.7113711213343071,0.7906060606060606,5.878023862838745,117275
4,5,0.005,1,1,3.3011455596577037,0.09878787878787879,2.7766663268118195,0.13015151515151516,6.509794235229492,117275
4,5,0.005,1,2,2.557145820386482,0.17575757575757575,2.375203499071526,0.21878787878787878,5.874619722366333,117275
4,5,0.005,1,3,2.2025264156225957,0.2715909090909091,2.063721657810789,0.3148484848484848,6.244704246520996,117275
4,5,0.005,1,4,1.9246651389382101,0.36053030303030303,1.822200150345311,0.4066666666666667,6.142917633056641,117275
4,5,0.005,1,5,1.7094553167169744,0.4368939393939394,1.6348340931805698,0.4718181818181818,6.002254247665405,117275
4,5,0.005,2,1,2.8020892857060287,0.1640151515151515,2.331161624735052,0.2221212121212121,6.3304972648620605,117275
4,5,0.005,2,2,2.16045146595348,0.27310606060606063,1.99784029006958,0.3287878787878788,5.895671367645264,117275
4,5,0.005,2,3,1.8736336118524726,0.3740909090909091,1.7504248626304395,0.4216666666666667,6.440699577331543,117275
4,5,0.005,2,4,1.6583578401623351,0.45356060606060605,1.5635529625054563,0.49318181818181817,5.884891986846924,117275
4,5,0.005,2,5,1.4942068923603404,0.5159848484848485,1.4189404181278114,0.5462121212121213,6.431947231292725,117275
4,5,0.005,3,1,2.8241648055567885,0.13287878787878787,2.5142593788378167,0.16696969696969696,5.923510789871216,117275
4,5,0.005,3,2,2.301755195386482,0.21583333333333332,2.144203703331225,0.26136363636363635,6.162977933883667,117275
4,5,0.005,3,3,1.9714003545587713,0.31242424242424244,1.8599757662686434,0.35803030303030303,6.210321426391602,117275
