config_id,components,lr,momentum,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
2,5,0.005,N/A,3,3,0.5087447772965287,0.8241666666666667,0.5154638377102938,0.8227272727272728,6.601926565170288,117275
2,5,0.005,N/A,3,4,0.48463625409386374,0.8303787878787878,0.6644801166563323,0.769090909090909,6.039912939071655,117275
2,5,0.005,N/A,3,5,0.4618775028893442,0.8407575757575757,0.5065923648892027,0.8275757575757576,6.450900316238403,117275
3,10,0.001,N/A,1,1,0.9217552744258534,0.6775757575757576,0.6389929433302446,0.7784848484848484,15.916975021362305,312200
3,10,0.001,N/A,1,2,0.5823101915012706,0.7968939393939394,0.5532064349001105,0.8045454545454546,15.78784966468811,312200
3,10,0.001,N/A,1,3,0.523443234869928,0.8175757575757576,0.528442474712025,0.816969696969697,15.629012107849121,312200
3,10,0.001,N/A,1,4,0.490353944012613,0.8262121212121212,0.5137802585327264,0.82,17.46477961540222,312200
3,10,0.001,N/A,1,5,0.4677219346075347,0.8387878787878787,0.5094964742660523,0.8242424242424242,15.78060245513916,312200
3,10,0.001,N/A,2,1,0.9339331470836293,0.6741666666666667,0.6577844872619166,0.7734848484848484,15.677104234695435,312200
3,10,0.001,N/A,2,2,0.5930538134863882,0.791969696969697,0.5756641430565805,0.7984848484848485,15.784276485443115,312200
3,10,0.001,N/A,2,3,0.5319085971875624,0.8137878787878788,0.5380584973277468,0.8134848484848485,15.813010931015015,312200
3,10,0.001,N/A,2,4,0.4937883252808542,0.8247727272727273,0.5271664261456692,0.8175757575757576,15.723878622055054,312200
3,10,0.001,N/A,2,5,0.4753193664550781,0.8326515151515151,0.50907674908638,0.8265151515151515,15.629104137420654,312200
3,10,0.001,N/A,3,1,1.0104880356066155,0.6476515151515152,0.6458067644003666,0.775,15.707160234451294,312200
3,10,0.001,N/A,3,2,0.6080252378637141,0.7854545454545454,0.5542948051293691,0.8053030303030303,15.994492292404175,312200
3,10,0.001,N/A,3,3,0.5422352170582974,0.8111363636363637,0.5243412264188131,0.818030303030303,15.59502649307251,312200
3,10,0.001,N/A,3,4,0.511941914991899,0.823030303030303,0.4993641576622472,0.8274242424242424,15.634960412979126,312200
3,10,0.001,N/A,3,5,0.4877752672180985,0.8323484848484849,0.4813647635055311,0.8334848484848485,15.78105640411377,312200
4,10,0.005,N/A,1,1,0.7325861422220866,0.7482575757575758,0.5454271881508105,0.8037878787878788,15.867816686630249,312200
4,10,0.005,N/A,1,2,0.518370497154467,0.8185606060606061,0.5056558238737511,0.821969696969697,15.839708805084229,312200
4,10,0.005,N/A,1,3,0.46867128798455904,0.8369696969696969,0.5173708001772562,0.8168181818181818,15.698001384735107,312200
4,10,0.005,N/A,1,4,0.4603701579932011,0.8414393939393939,0.520661169796279,0.818030303030303,15.677834033966064,312200
4,10,0.005,N/A,1,5,0.45508917866331156,0.8437878787878788,0.5198639690153527,0.8207575757575758,15.690141439437866,312200
4,10,0.005,N/A,2,1,0.7264453943931695,0.7518181818181818,0.5663405608047138,0.8022727272727272,15.689746618270874,312200
4,10,0.005,N/A,2,2,0.506722244421641,0.8233333333333334,0.520928407871362,0.8212121212121212,15.643208503723145,312200
4,10,0.005,N/A,2,3,0.4806977704438296,0.8328787878787879,0.5526966499198567,0.8172727272727273,15.722335577011108,312200
4,10,0.005,N/A,2,4,0.45573992678613373,0.8399242424242425,0.49838886723373876,0.8319696969696969,15.96214246749878,312200
4,10,0.005,N/A,2,5,0.4421555961262096,0.8458333333333333,0.5492869255037018,0.816969696969697,15.883068799972534,312200
4,10,0.005,N/A,3,1,0.6984808588027954,0.7510606060606061,0.5374354775746664,0.8128787878787879,15.797061920166016,312200
4,10,0.005,N/A,3,2,0.5147920409477118,0.8174242424242424,0.5463768447529186,0.8092424242424242,15.670115232467651,312200
4,10,0.005,N/A,3,3,0.47607707608829847,0.8325,0.5270579684141911,0.8234848484848485,15.635035276412964,312200
4,10,0.005,N/A,3,4,0.46688310009060485,0.8372727272727273,0.48773227590503115,0.8372727272727273,15.622810363769531,312200
4,10,0.005,N/A,3,5,0.43452528978839067,0.8433333333333334,0.49949224197503295,0.8333333333333334,15.682068109512329,312200
