config_id,components,lr,momentum,fold,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_seconds,total_params
4,10,0.005,N/A,2,5,2.2655043363511993,0.2150657731447009,2.238535016664177,0.2282204020848846,24.15506410598755,409600
4,10,0.005,N/A,3,1,2.3625822725293655,0.16387441052370316,2.2741257867436753,0.1968230330106726,24.07888960838318,409600
4,10,0.005,N/A,3,2,2.289131744649399,0.19738148423926533,2.302441856529139,0.2115909655001241,23.864773273468018,409600
4,10,0.005,N/A,3,3,2.251746834463563,0.22139488706875154,2.3107349883832478,0.19310002482005462,24.005950450897217,409600
4,10,0.005,N/A,3,4,2.2640842077127905,0.2123355671382477,2.341924196793856,0.18391660461653014,24.10248064994812,409600
4,10,0.005,N/A,3,5,2.234466168388713,0.2322536609580541,2.2806183560428916,0.2269793993546786,24.14086127281189,409600
5,20,0.001,N/A,1,1,2.3112393970612586,0.1527053859518491,2.299074632768212,0.1877637130801688,84.60589051246643,1228600
5,20,0.001,N/A,1,2,2.261752913151464,0.192355423181931,2.266216777163364,0.19471332836932242,84.51166033744812,1228600
5,20,0.001,N/A,1,3,2.2437532473569117,0.21667907669396871,2.2685649555946705,0.19930503847108463,84.48054623603821,1228600
5,20,0.001,N/A,1,4,2.2331939043019955,0.22338049143708116,2.292252560885617,0.16629436584760487,84.37492990493774,1228600
5,20,0.001,N/A,1,5,2.22837956912111,0.22300819061801935,2.256701122948123,0.20004964010920823,84.33014559745789,1228600
5,20,0.001,N/A,2,1,2.314286890500945,0.14103996028791263,2.277787704330486,0.1718788781335319,84.4174427986145,1228600
5,20,0.001,N/A,2,2,2.2679699750773867,0.19403077686770911,2.2646670270480955,0.1927277240009928,84.61571216583252,1228600
5,20,0.001,N/A,2,3,2.245437876347958,0.2150657731447009,2.2569224897168296,0.18453710598163317,84.61115312576294,1228600
5,20,0.001,N/A,2,4,2.2363520571599085,0.2126458178207992,2.255310085992063,0.21456937205261853,84.51412582397461,1228600
5,20,0.001,N/A,2,5,2.2222241217399477,0.22567634648796228,2.262732548286436,0.18912881608339538,84.53855490684509,1228600
5,20,0.001,N/A,3,1,2.3148433653229548,0.14662447257383968,2.282366526691989,0.16443286175229585,84.50647521018982,1228600
5,20,0.001,N/A,3,2,2.2649610573377346,0.19781583519483742,2.2544978647262828,0.189873417721519,84.50927925109863,1228600
5,20,0.001,N/A,3,3,2.244137142277971,0.2132042690493919,2.25193855531105,0.19831223628691982,84.53151035308838,1228600
5,20,0.001,N/A,3,4,2.238570995264534,0.2114668652271035,2.255155705849389,0.20600645321419708,84.7165539264679,1228600
5,20,0.001,N/A,3,5,2.2298733795153707,0.22288409034499876,2.248066362538152,0.20166294365847603,84.57546663284302,1228600
6,20,0.005,N/A,1,1,2.3587935644274287,0.16542566393646066,2.31189330265048,0.18391660461653014,84.59386396408081,1228600
6,20,0.005,N/A,1,2,2.2893523798890727,0.20222139488706875,2.284251136559652,0.20501365103003227,84.53606295585632,1228600
6,20,0.005,N/A,1,3,2.274436253476421,0.2114668652271035,2.3654743114337937,0.18044179697195334,84.48524451255798,1228600
6,20,0.005,N/A,1,4,2.2649766499956536,0.21934723256391164,2.3062005749586705,0.2098535616778357,84.41872715950012,1228600
6,20,0.005,N/A,1,5,2.2486528353763293,0.22555224621494166,2.288181566428712,0.21643087614792753,84.39030313491821,1228600
6,20,0.005,N/A,2,1,2.361549458985413,0.1536361379995036,2.317110671746166,0.1899975179945396,84.45264959335327,1228600
6,20,0.005,N/A,2,2,2.3037027066444518,0.19607843137254902,2.304530560274993,0.18801191362620998,84.60440397262573,1228600
6,20,0.005,N/A,2,3,2.2663123631305746,0.21760982874162324,2.2536858656649614,0.22549019607843138,84.74620413780212,1228600
6,20,0.005,N/A,2,4,2.2690618250617973,0.2122114668652271,2.2798702524506624,0.2133283693224125,84.84382510185242,1228600
6,20,0.005,N/A,2,5,2.26400605878927,0.21779597915115415,2.3094135684095978,0.2150657731447009,85.03110408782959,1228600
6,20,0.005,N/A,3,1,2.355707188166232,0.17088607594936708,2.329793016145412,0.18279970215934474,84.99018383026123,1228600
6,20,0.005,N/A,3,2,2.326608147210476,0.1946512782328121,2.286090237474761,0.19831223628691982,84.64165377616882,1228600
6,20,0.005,N/A,3,3,2.2832537210440336,0.20910896003971208,2.3618828921910993,0.18155869942913874,84.59600234031677,1228600
6,20,0.005,N/A,3,4,2.2630798111899257,0.21481757259865972,2.304918330785032,0.21742367833209233,84.53209471702576,1228600
6,20,0.005,N/A,3,5,2.248948823491407,0.2282204020848846,2.3604382518859204,0.20265574584264084,84.37965369224548,1228600
